"cn","Aou","BCR","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst"
"Ruffed Grouse",3000,"10",467551.28,457404.5,0.298614950727882,302155,642980.2,250903.475,755547.7,468000,457000,302000,643000,251000,756000
"Ruffed Grouse",3000,"4",84686.54,82435,0.337615688498626,48372.2,120603.4,37432.325,148511.675,84700,82400,48400,121000,37400,149000
"Ruffed Grouse",3000,"5",28382.85,26142,0.370454559107558,17000.3,42447.1,12764.8,50396.35,28400,26100,17000,42400,12800,50400
"Ruffed Grouse",3000,"6",514958.69,512101.5,0.224213963323461,366109.2,652977.4,316545.05,740515.475,515000,512000,366000,653000,317000,741000
"Ruffed Grouse",3000,"9",22338.76,20215,0.469167859670228,11715.7,39102.5,7228.525,46175.9,22300,20200,11700,39100,7230,46200
"Ruffed Grouse",3000,"11",48203.88,47719,0.393122757707106,27505.7,75115.4,17313.4,81535.275,48200,47700,27500,75100,17300,81500
"Ruffed Grouse",3000,"14",59002.44,59210.5,0.193137960928613,42473.9,74086.3,39741.475,81481.925,59000,59200,42500,74100,39700,81500
"Ruffed Grouse",3000,"12",285274.14,282259,0.179606652731541,222905.6,355882.7,199706.75,384278.675,285000,282000,223000,356000,2e+05,384000
"Ruffed Grouse",3000,"8",614297.7,591682,0.279507735082723,428591.3,851556.3,378307.7,1038447.425,614000,592000,429000,852000,378000,1040000
"Ruffed Grouse",3000,"28",8586.27,8340,0.355223806570123,5316.2,12340.6,4255.075,14278.625,8590,8340,5320,12300,4260,14300
"Ruffed Grouse",3000,"23",5560.38,5648,0.324440873736667,3338,7620.4,2364.5,9059.475,5560,5650,3340,7620,2360,9060
"Ruffed Grouse",3000,"17",10365.22,8888,1.07756199262786,0,24360.9,0,32114.3,10400,8890,0,24400,0,32100
"Ruffed Grouse",3000,"13",12064.41,11329,0.472458429146374,6039,17788.6,4904.3,23203.925,12100,11300,6040,17800,4900,23200
"Ruffed Grouse",3000,"16",3920.07,3659,0.59741930782966,1181.5,6992.3,654.7,9749.09999999999,3920,3660,1180,6990,655,9750
"Ruffed Grouse",3000,"7",0,0,NA,0,0,0,0,0,0,0,0,0,0
"Ruffed Grouse",3000,"30",0,0,NA,0,0,0,0,0,0,0,0,0,0
"Ruffed Grouse",3000,"29",0,0,NA,0,0,0,0,0,0,0,0,0,0
"Mourning Dove",3160,"10",1749483.33,1721532,0.173774838555667,1424048.7,2155779.8,1241851.1,2354507.975,1750000,1720000,1420000,2160000,1240000,2350000
"Mourning Dove",3160,"5",324522.24,321079.5,0.194697681582135,245023,403766.5,219209.725,449026.7,325000,321000,245000,404000,219000,449000
"Mourning Dove",3160,"9",4576254.67,4522070,0.152509078634774,3792577.3,5607068,3645316.2,5973547.175,4580000,4520000,3790000,5610000,3650000,5970000
"Mourning Dove",3160,"15",120488.28,115861,0.336726457903876,67393.3,173224.9,61477.125,202992.7,120000,116000,67400,173000,61500,203000
"Mourning Dove",3160,"32",2441789.66,2304102,0.301811610265036,1642732.4,3512037.5,1449168.4,4070235.3,2440000,2300000,1640000,3510000,1450000,4070000
"Mourning Dove",3160,"33",3726678.48,3640395.5,0.227358126308066,2735465.1,4920678.5,2582020.775,5512091.125,3730000,3640000,2740000,4920000,2580000,5510000
"Mourning Dove",3160,"16",2581952.89,2541749,0.166863857793192,2024585.3,3143317.2,1860490.925,3577245.725,2580000,2540000,2020000,3140000,1860000,3580000
"Mourning Dove",3160,"18",12554709.3,12146064,0.153502567346881,10370801.5,15392435.3,9548187.85,16642096.2,12600000,12100000,10400000,15400000,9550000,16600000
"Mourning Dove",3160,"30",890038.14,881113.5,0.128362608496387,746170.2,1030045.4,696558.15,1126047.3,890000,881000,746000,1030000,697000,1130000
"Mourning Dove",3160,"24",5067446.43,4998086.5,0.117200270458684,4378294.8,5914244.4,4097852.325,6241080,5070000,5e+06,4380000,5910000,4100000,6240000
"Mourning Dove",3160,"27",8130179.87,8145327.5,0.109952240728269,7059437.1,9394361.4,6588550.425,10031090.175,8130000,8150000,7060000,9390000,6590000,1e+07
"Mourning Dove",3160,"28",4923391.47,4888247,0.104776606966391,4306695.6,5599855.4,3909304.025,6016255.55,4920000,4890000,4310000,5600000,3910000,6020000
"Mourning Dove",3160,"29",3151578.36,3088213,0.123229019820385,2695864.9,3687789.1,2594233.175,3965788.475,3150000,3090000,2700000,3690000,2590000,3970000
"Mourning Dove",3160,"31",1523588.63,1458844,0.300370203725561,1021793.2,2188885,830548.7,2536321.425,1520000,1460000,1020000,2190000,831000,2540000
"Mourning Dove",3160,"22",10990312.53,10764144,0.111981652198989,9574353.8,12524733.3,8681313.65,13589142.55,1.1e+07,10800000,9570000,12500000,8680000,13600000
"Mourning Dove",3160,"23",3449312.75,3440963.5,0.162589184904286,2752790.1,4210066.7,2428238.175,4571982.4,3450000,3440000,2750000,4210000,2430000,4570000
