strata_name,median_proportion,mean_proportion,lci_proportion,uci_proportion,mean_abund,abund_22,species,sp_ebird,log_ratio,ratio
CA-AB-10,0.9122368598729825,0.9237999839319732,0.6692008253939559,1.238246426684693,164392.46759730103,148330.5349534901,Brown Creeper,brncre,-0.07925969837903644,0.9237999839319732
CA-AB-6,0.7926807971640792,0.8013467552312772,0.4902517355517807,1.1710704623478791,837074.1035524458,639950.5148497754,Brown Creeper,brncre,-0.22146152267875044,0.8013467552312772
CA-BC-10,1.006609726434401,1.0146895631311752,0.8081324763185492,1.2652285142351485,890322.2003656187,893502.6420342602,Brown Creeper,brncre,0.014582716580518894,1.0146895631311752
CA-BC-5,1.09274374130093,1.0985185212385056,0.9003284046753748,1.3433446847092263,1436841.95496176,1564746.4192409,Brown Creeper,brncre,0.09396247318150722,1.0985185212385056
CA-BC-9,0.9885227816677579,0.9963311125370352,0.7775353826587668,1.2584657744951286,296954.0643440272,291967.5974483558,Brown Creeper,brncre,-0.0036756343379781725,0.9963311125370352
CA-MB-12,0.9707415220489136,0.9800533666390102,0.7201041293171657,1.3000668434551295,39969.906226299085,38359.84062284037,Brown Creeper,brncre,-0.02014825304608814,0.9800533666390102
CA-MB-6,0.8700489094444201,0.8822272838430455,0.5936462260892871,1.2327723909006054,146435.30555091883,125077.88309811334,Brown Creeper,brncre,-0.12530556474005555,0.8822272838430455
CA-MB-8,0.9799637156217449,0.99089649992011,0.6860194152987837,1.363394199750125,304951.965733733,293917.7045894409,Brown Creeper,brncre,-0.009145190146642126,0.99089649992011
CA-NB-14,1.5814700271396553,1.5912931666721084,1.2637831988229529,1.973725584641668,462422.2339198331,727579.201258854,Brown Creeper,brncre,0.4645469980452477,1.5912931666721084
CA-NS-14,1.628934486728355,1.6400229522096372,1.2450981048878298,2.113117439121412,267578.1110934883,431600.0001552058,Brown Creeper,brncre,0.49471023698795324,1.6400229522096372
CA-ON-12,1.1021327909495109,1.1071722168566078,0.9170599433327249,1.3268236968361211,1748021.6287266673,1921995.7945759632,Brown Creeper,brncre,0.10180921240946407,1.1071722168566078
